Species	Common name	Order	Ecology	Total Length (cm)	Head length (cm)	Snout-eye (cm)	Upper jaw height (cm)	Lower jaw height (cm)	Snout-Pectoral (cm)	Gill size (cm)	Pectoral fin length (cm)	Pectoral fin width (cm)	Snout-Dorsal (cm)	Dorsal fin height (cm)	Dorsal fin width (cm)	DorsalA-Pectoral (cm)	DorsalTip-Abdomen (cm)	DorsalP-Abdomen  (cm)	Dorsal1-Dorsal2 (cm)	Pectoral-Pelvic (cm)	Pelvic fin length (cm)	Pelvic fin width (cm)	Back-PelvicA (cm)	Pelvic-anal (cm)	Dorsal2-Anal (cm)	Dorsal-Caudal (cm)	Fork height (cm)	Tail height (cm)	Sex	Life stage	Image score
Carcharodon carcharias	Great White	Lamniformes	Macropredator	610	180.14	20.49	52.9	13.34	159.17	61.89	106.55	71.48	252.1	66.24	81.02	116.76	198.25	128.2	120.09	151.55	34.43	41.38	91.5	43.37	39.56	284.03	17.63	159.65	F	A	2
Carcharodon carcharias	Great White	Lamniformes	Macropredator	142	39.58	3.78	10.04	3.66	32.96	16.89	34.36	17.92	56	10.63	16.66	19.61	36.39	24.1	30.13	34.97	7.11	11.1	14.65	15.83	7.8	71.36	4.02	34.38	F	J	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	120.04	32.67	3.44	7.88	2.16	28.49	11.35	29.5	15.43	42.25	14.42	16.3	16.3	34.29	20.61	26.94	23.71	8.71	10.7	15.49	10.78	7.48	62.17	3.57	30.85	F	J	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	285	88.02	9.88	26.59	12	78.84	31.86	49.08	36.56	124.73	26.12	36.71	49.66	82.61	54.36	52.72	64.96	14.44	18.53	38.36	18.36	16.24	123.08	6.83	44.72	M	S	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	350	98.24	14.85	26.53	7.9	91.92	27.79	50.25	42.65	120.67	38.85	48.65	46.75	94.77	50.86	71.07	63.18	19.08	26.7	38.54	31.9	17.69	178.48	7.58	97.92	M	A	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	147.3	42.48	7.84	8.98	6.2	40.46	12.9	27	15.68	51.7	15.05	17.83	16.69	36.41	19.85	31.48	26.68	8.36	11.14	13.66	12.65	7.97	77.89	3.92	38.56	M	J	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	330	106.91	16.64	25.64	12.27	96.55	33.56	67.91	45.84	146.46	36.55	42.55	45.72	92.18	52.36	66.55	69.55	21.9	21.98	36.82	29.46	19.91	141.82	9.27	91.09	M	S	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	439.86	123	18.06	32.03	26.92	97.44	51.1	81.22	41.75	174.79	39.52	50.09	65.42	125.04	85.52	94.38	135	13.71	23.86	48.04	42.25	23.17	218.06	11.24	97.44	M	A	3
Carcharodon carcharias	Great White	Lamniformes	Macropredator	350	104.5	15.91	19.34	15.6	90.46	23.47	45.06	37.32	142.25	31.19	40.55	30.57	81.73	47.1	78.92	73	12.99	30	33.07	36.5	19.03	166.27	10.29	86.41	M	A	2
Carcharodon carcharias	Great White	Lamniformes	Macropredator	487.68	132.91	25.48	38.97	15.99	125.42	38.68	86.32	48.97	169.89	52.47	57.96	72.95	124.42	68.46	97.44	87.94	29.69	31.27	51.47	34.48	24.48	259.83	11.99	71.95	F	A	3
